image_id	region_id	rel_id	relationship	subject	object	subject_synset	object_synset	relationship_synset	sentence	location	time	event
1	1835	4265925	wearing	man	glasses	man.n.01	spectacles.n.01	wear.v.01	man is wearing glasses	[]	[]	[]
1	1882	3186264	in	man	shirt	man.n.01	shirt.n.01	in.r.01	the man wears a red t shirt 	[]	[]	[]
1	1933	3186266	on top of	parking meter	street	parking_meter.n.01	street.n.01	along.r.01	a parking meter is on the street	[]	[]	[]
1	1934	3186267	next to	tree	street	tree.n.01	street.n.01	next.r.01	trees line up the street	[]	[]	[]
1	1935	3186268	wearing	man	glasses	man.n.01	spectacles.n.01	wear.v.01	a man in glasses	[]	[]	[]
1	1936	3186269	behind	bikes	man	bicycle.n.01	man.n.01	behind.r.01	bicycles are seen in the bckground	[]	[]	[]
1	1982	3186270	by	trees	sidewalk	tree.n.01	sidewalk.n.01	by.r.01	trees line the sidewalk	[]	[]	[]
1	2033	3186271	wearing	man	jacket	man.n.01	jacket.n.01	wear.v.01	A man in a gray hoodie	[]	[]	[]
1	2036	4265927	with	building	windows	building.n.01	window.n.01	b	A tall brick building with many windows	[]	[]	[]
2	1388	15947	wears	man	backpack	man.n.01	backpack.n.01	wear.v.01	man wearing silver backpack	[]	[]	[]
2	1389	15948	parked on	car	road	car.n.01	road.n.01	along.r.01	red car parked on road	[]	[]	[]
2	1390	15949	next to	tree	road	tree.n.01	road.n.01	next.r.01	3 green trees line street	[]	[]	[]
2	1391	15952	in front of	crosswalk	man	crossing.n.05	man.n.01	in.r.01	crosswalk	[]	[]	[]
2	1438	15953	has	building	window	building.n.01	window.n.01	have.v.01	A building with a lot of glass windows. 	[]	[]	[]
2	1439	15958	parked on	car	road	car.n.01	road.n.01	along.r.01	A white car parked on the side of the road. 	[]	[]	[]
2	1441	15959	next to	sign	road	sign.n.02	road.n.01	next.r.01	A sign on the side of the road. 	[]	[]	[]
2	1487	15960	along	tree	road	tree.n.01	road.n.01	along.r.01	trees are along the road	[]	[]	[('What is the guy doing?', 'Walking.')]
2	1488	15963	wears	man	sneakers	man.n.01	gym_shoe.n.01	wear.v.01	man is wearing sneakers	[]	[]	[]
2	1491	15965	next to	bike	car	bicycle.n.01	car.n.01	next.r.01	bike is next to the car	[]	[]	[]
2	1538	15969	parked on	car	road	car.n.01	road.n.01	along.r.01	red car is parked along the road	[]	[]	[]
2	1539	15970	at	man	crosswalk	man.n.01	crossing.n.05	b	man is about to cross the road	[]	[]	[]
2	1540	15971	on	crosswalk	road	crossing.n.05	road.n.01	along.r.01	the road is marked white 	[]	[]	[]
3	1394	15973	in front of	keyboard	monitor	keyboard.n.01	monitor.n.04	in.r.01	desktop CPU, monitor and keyboard	[]	[]	[]
3	1394	15974	under	cpu	desktop	central_processing_unit.n.01	desktop.n.01	under.r.01	desktop CPU, monitor and keyboard	[]	[]	[]
3	1395	15975	has	filing cabinet	drawer	cabinet.n.01	drawer.n.01	have.v.01	two-drawer filing cabinet	[]	[]	[]
3	1442	15977	next to	mouse	keyboard	mouse.n.01	keyboard.n.01	next.r.01	A computer keyboard and mouse	[]	[]	[]
3	1444	15979	under	cpu	desk	central_processing_unit.n.01	desk.n.01	under.r.01	A computer tower under a desk	[('Where is computer tower?', 'Under desk.')]	[]	[]
3	1445	15980	next to	filing cabinet	desk	cabinet.n.01	desk.n.01	next.r.01	A file cabinet next to the desk.	[('Where is the file cabinet?', 'Next to desk.')]	[]	[]
3	1446	15981	next to	multiple outlet	monitor	mercantile_establishment.n.01	monitor.n.04	next.r.01	A multiple outlet with several plugs in it	[]	[]	[]
3	1446	15982	has	multiple outlet	plug	mercantile_establishment.n.01	plug.n.01	have.v.01	A multiple outlet with several plugs in it	[]	[]	[]
3	1493	15987	in front of	girl	monitor	girl.n.01	monitor.n.04	in.r.01	girl sitting in front of a monitor	[]	[]	[('What is the girl doing?', 'Sitting.')]
3	1494	15988	next to	mouse	keyboard	mouse.n.01	keyboard.n.01	next.r.01	mouse next to keyboard 	[]	[]	[]
3	1495	15989	on	outlet	wall	mercantile_establishment.n.01	wall.n.01	along.r.01	electrical outlets in the wall 	[]	[]	[]
3	1542	15991	has	girl	hair	girl.n.01	hair.n.01	have.v.01	woman has long hair	[]	[]	[]
3	1543	15992	wears	girl	chain	girl.n.01	chain.n.01	wear.v.01	woman is wearing a chain 	[]	[]	[]
3	1544	15993	on	pen	desk	pen.n.01	desk.n.01	along.r.01	a pen is on the desk	[]	[]	[]
3	1545	15994	on	cable	floor	cable.n.01	floor.n.01	along.r.01	cables are on the floor	[('Where are the cables?', 'On floor.')]	[]	[]
3	1594	3187822	has	wall	outlets	wall.n.01	mercantile_establishment.n.01	have.v.01	four outlets on the wall	[]	[]	[]
3	1595	3187823	on	bag	desk	bag.n.01	desk.n.01	along.r.01	black bag on the desk	[]	[]	[]
3	1596	3187824	on	calendar	wall	calendar.n.01	wall.n.01	along.r.01	three-month calendar on wall	[('Where is the calendar?', 'On wall.')]	[]	[]
3	1642	3187825	has	woman	dark hair	woman.n.01	hair.n.01	have.v.01	woman has dark hair	[]	[]	[]
3	1692	3187827	with	woman	dark hair	woman.n.01	hair.n.01	b	A woman with dark hair in a ponytail	[]	[]	[]
3	1695	3187828	with	woman	white t-shirt	woman.n.01	jersey.n.03	b	A woman with a white t-shirt	[]	[]	[]
3	1696	3187829	between	partition	cubicles	partition.n.01	booth.n.02	between.r.02	A partition between cubicles	[]	[]	[]
3	1742	3187830	on	picture	wall	picture.n.01	wall.n.01	along.r.01	picture are on the wall	[]	[]	[]
3	1743	3187831	on	telephone	desk	telephone.n.01	desk.n.01	along.r.01	a black telephone on the desk	[]	[]	[]
3	1744	3187832	with	woman	black hair	woman.n.01	hair.n.01	b	a woman with black hair	[]	[]	[]
3	1794	3187834	next to	pen	phone	pen.n.01	telephone.n.01	next.r.01	a pen is next to the phone	[]	[]	[]
3	1795	3187835	working on	woman	computer	woman.n.01	computer.n.01	work.v.01	woman is working on her computer	[]	[]	[('What is the woman doing at the computer?', 'Working.')]
3	1844	3187837	on	photos	wall	photograph.n.01	wall.n.01	along.r.01	photos are on the wall	[]	[]	[]
3	1894	3187840	has	drawer	handle	drawer.n.01	handle.n.01	have.v.01	drawers have silver handles	[]	[]	[]
3	1942	3187842	next to	pen	telephone	pen.n.01	telephone.n.01	next.r.01	a pen is laying next to the telephone	[]	[]	[]
3	1943	3187843	on	cables	floor	cable.n.01	floor.n.01	along.r.01	cables run down from the outlets onto the floor	[]	[]	[]
3	1944	3187844	on	picture	dividing screen	picture.n.01	screen.n.01	along.r.01	dividing screen has a picture stuck to it	[]	[]	[]
3	1945	3187845	wearing	girl	necklace	girl.n.01	necklace.n.01	wear.v.01	girl is wearing a necklace 	[('Where is this scene?', 'Office.')]	[]	[]
3	1992	3187847	with	keyboard	grey keys	keyboard.n.01	key.n.01	b	white computer keyboard with grey keys	[('Where is the lady?', 'Upper right.')]	[]	[]
3	1993	3187848	sitting at	woman	desk	woman.n.01	desk.n.01	sit.v.01	dark-haired woman sitting at desk	[]	[]	[]
3	2043	3187850	on	telephone	table	telephone.n.01	table.n.02	along.r.01	it is a black telephone on the table	[]	[]	[]
4	1398	15997	has	chair	padding	chair.n.01	padding.n.01	have.v.01	A black chair with blue padding.	[]	[]	[]
4	1400	15998	on	carpet	floor	rug.n.01	floor.n.01	along.r.01	Plush gray carpet on the floor.	[]	[]	[]
4	1447	15999	on	pillow	couch	pillow.n.01	sofa.n.01	along.r.01	a white pillow is on the couch	[]	[]	[]
4	1448	16000	against	teddy bear	pillow	teddy.n.01	pillow.n.01	b	a teddy bear lies against a pillow	[]	[]	[]
4	1497	16001	against	animal	pillow	animal.n.01	pillow.n.01	b	A stuffed animal against a white pillow	[]	[]	[]
4	1499	16003	has	futon	frame	futon.n.01	frame.n.01	have.v.01	A purple futon with a wooden frame	[]	[]	[]
4	1500	16004	next to	chair	table	chair.n.01	table.n.02	next.r.01	A slender chair next to the table	[]	[]	[]
4	1501	16005	to	door	patio	door.n.01	patio.n.01	b	A sliding glass door to a patio	[('Where is a pillow?', 'On the couch.')]	[]	[]
4	1550	16006	has	doll	cloths	doll.n.01	fabric.n.01	have.v.01	doll has red cloths	[]	[]	[]
4	1847	3187851	behind	lamp	couch	lamp.n.01	sofa.n.01	behind.r.01	Black floor lamp behind a futon	[('Where is the lamp?', 'Behind the sofa.')]	[]	[]
4	1848	3187852	on	pillow	couch	pillow.n.01	sofa.n.01	along.r.01	Purple futon with white pillow and teddy bear	[]	[]	[]
4	1897	3187854	on	teddy bear	couch	teddy.n.01	sofa.n.01	along.r.01	teddy bear sitting on the sofa	[]	[]	[]
4	2000	3187856	on	lamp	floor	lamp.n.01	floor.n.01	along.r.01	floor lamp in the corner	[]	[]	[]
5	1403	16007	on	cables	floor	cable.n.01	floor.n.01	along.r.01	white cables are on the floor	[('Where are the cables?', 'On floor.')]	[]	[]
5	1452	4265922	on	books	shelf	book.n.01	shelf.n.01	along.r.01	books are on the shelf	[('Where are the books?', 'On shelf.')]	[]	[]
5	1503	16010	on	cpu	floor	central_processing_unit.n.01	floor.n.01	along.r.01	cpu is on the floor	[]	[]	[]
5	1506	16011	on	cables	floor	cable.n.01	floor.n.01	along.r.01	cables are on the floor	[]	[]	[]
5	1606	3187857	near	printer	computer monitor	printer.n.01	computer_monitor.n.01	about.r.07	a white printer is next to the monitor	[]	[]	[]
5	1652	3187858	on	books	shelves	book.n.01	shelf.n.01	along.r.01	rows of books on two shelves	[]	[]	[]
5	1653	3187859	outside	railing	window	railing.n.01	window.n.01	outside.r.01	railing outside a window	[]	[]	[]
5	1655	3187860	near	chair	desk	chair.n.01	desk.n.01	about.r.07	two chairs near a desk	[]	[]	[]
5	1656	3187861	on	computer monitor	desk	computer_monitor.n.01	desk.n.01	along.r.01	computer monitor on desk	[]	[]	[]
5	1752	3187862	on	books	wall	book.n.01	wall.n.01	along.r.01	Books on wall shelf	[]	[]	[]
5	1753	3187863	on	computer monitor	desk	computer_monitor.n.01	desk.n.01	along.r.01	computer monitor sitting on desk	[]	[]	[]
5	1755	3187865	on	keyboard	desk	keyboard.n.01	desk.n.01	along.r.01	keyboard sitting on desk	[]	[]	[]
5	1803	3187867	on	keyboard	desk	keyboard.n.01	desk.n.01	along.r.01	Computer keyboard on a desk	[]	[]	[]
5	1855	3187869	on	air conditioner	wall	air_conditioner.n.01	wall.n.01	along.r.01	there is an air conditioner on the wall	[]	[]	[]
5	1856	3187870	on	shelves	wall	shelf.n.01	wall.n.01	along.r.01	the shelf is on the wall	[]	[('When in a day is it?', 'Afternoon.')]	[]
5	1902	3187871	on	books	shelves	book.n.01	shelf.n.01	along.r.01	Books on a bookshelf	[('Where are the books?', 'Shelf.')]	[]	[]
5	1903	3187872	with	room	computer	room.n.01	computer.n.01	b	A messy room with a computer	[]	[]	[]
5	1905	3187873	before	chairs	desk	chair.n.01	desk.n.01	earlier.r.01	Two chairs in front of a computer desk	[]	[]	[]
5	1952	3187874	on	shelves	wall	shelf.n.01	wall.n.01	along.r.01	A single bookshelf on the wall	[('Where is the bookshelf?', 'On the wall.')]	[]	[]
5	1954	3187875	on	railing	balcony	railing.n.01	balcony.n.01	along.r.01	A railing on a balcony	[]	[]	[]
5	1955	3187876	on	clothes	chair	apparel.n.01	chair.n.01	along.r.01	Some clothing piled on a chair	[]	[]	[]
5	1956	3187877	on	heater	floor	heater.n.01	floor.n.01	along.r.01	A portable heating unit on the floor	[]	[]	[]
5	2002	3187878	against	chair	wall	chair.n.01	wall.n.01	b	brown chair against the wall	[]	[]	[]
5	2052	3187879	on	air conditioner	wall	air_conditioner.n.01	wall.n.01	along.r.01	an air conditioner is on the wall	[('Where is the air conditioner?', 'On the wall.')]	[]	[]
5	2053	3187880	against	chair	wall	chair.n.01	wall.n.01	b	a brown chair is against the wall	[]	[]	[]
6	1407	16013	on	apple	counter	apple.n.01	counter.n.01	along.r.01	red shiny apple on the counter	[]	[]	[]
6	1411	16015	in	milk	glass	milk.n.01	glass.n.01	in.r.01	glass with milk in it	[]	[]	[]
6	1411	16016	has	glass	milk	glass.n.01	milk.n.01	have.v.01	glass with milk in it	[]	[]	[]
6	1458	16019	has	drawer	handle	drawer.n.01	handle.n.01	have.v.01	Handle of wooden drawer	[]	[]	[]
6	1459	16020	on	fork	plate	fork.n.01	plate.n.04	along.r.01	Metal fork on a plate	[]	[]	[]
6	1460	16021	has	glass	liquid	glass.n.01	liquid.n.01	have.v.01	Glass with liquid in it	[]	[]	[]
6	1460	16022	in	liquid	glass	liquid.n.01	glass.n.01	in.r.01	Glass with liquid in it	[]	[]	[]
6	1508	16025	has	glass	milk	glass.n.01	milk.n.01	have.v.01	A glass of milk. 	[]	[]	[]
6	1557	16026	has	glass	milk	glass.n.01	milk.n.01	have.v.01	glass has milk in it	[]	[]	[]
6	1557	16027	in	milk	glass	milk.n.01	glass.n.01	in.r.01	glass has milk in it	[]	[]	[]
6	1561	16028	on	bag	table	bag.n.01	table.n.02	along.r.01	black bag is on the table	[('Where is the black bag?', 'On the table.')]	[]	[]
6	1608	3061575	on	bowl	counter	bowl.n.01	counter.n.01	along.r.01	Brown bowl on the counter	[]	[]	[]
6	1609	3061576	on	bowl	counter	bowl.n.01	counter.n.01	along.r.01	Plastic bowl on the counter	[]	[]	[]
6	1610	3061577	on	pan	counter	pan.n.01	counter.n.01	along.r.01	Metal bowl on the counter	[]	[]	[]
6	1611	3061579	in	food	bag	food.n.01	bag.n.01	in.r.01	Bag of food on the counter	[]	[]	[]
6	1611	3061578	on	bag	counter	bag.n.01	counter.n.01	along.r.01	Bag of food on the counter	[]	[]	[]
6	1661	3061580	in	food	bag	food.n.01	bag.n.01	in.r.01	A bag of baby carrots. 	[]	[]	[]
6	1708	3061583	on	glass	counter	glass.n.01	counter.n.01	along.r.01	three drinking glasses on counter	[]	[]	[]
6	1757	3061584	on	apple	counter	apple.n.01	counter.n.01	along.r.01	an apple on the table	[('Where is the apple?', 'On table.')]	[]	[]
6	1758	3061585	of	glass	milk	glass.n.01	milk.n.01	b	a partially empty glass of milk someone drank	[]	[]	[]
6	1760	3061586	in	food	bag	food.n.01	bag.n.01	in.r.01	a bag of raw carrots	[]	[]	[]
6	1761	3061587	rests on	bag	bowl	bag.n.01	bowl.n.01	stay.v.01	a black pot holder resting on a bowl	[]	[]	[]
6	1807	3061588	on	apple	counter	apple.n.01	counter.n.01	along.r.01	Red apple sitting on a table	[]	[]	[]
6	1808	3061589	on	fork	plate	fork.n.01	plate.n.04	along.r.01	White plate with a fork sitting on it	[]	[]	[]
6	1809	3061590	with	container	cover	container.n.01	screen.n.04	b	Empty plastic dish with a cover	[]	[]	[]
6	1810	3061592	on	glass	counter	glass.n.01	counter.n.01	along.r.01	Drinking glasses sitting on the table	[]	[]	[]
6	1857	3061593	on	fork	plate	fork.n.01	plate.n.04	along.r.01	a fork is on the white plate	[]	[]	[]
6	1861	3061594	contains	glass	milk	glass.n.01	milk.n.01	incorporate.v.02	the glass contains milk	[]	[]	[]
6	1910	3061595	in	milk	glass	milk.n.01	glass.n.01	in.r.01	Glass with some liquid in it	[]	[]	[]
6	1957	3061596	on	apple	counter	apple.n.01	counter.n.01	along.r.01	An apple on a counter	[]	[]	[]
6	1958	3061597	on	fork	plate	fork.n.01	plate.n.04	along.r.01	A dirty plate with a fork on it.	[]	[]	[]
6	1960	3061598	next to	bag	container	bag.n.01	container.n.01	next.r.01	A potholder next to a plastic bowl	[]	[]	[]
6	1961	3061601	under	leg	counter	leg.n.01	counter.n.01	under.r.01	The legs of a chair under the counter	[]	[]	[]
6	1961	3061600	has	chair	leg	chair.n.01	leg.n.01	have.v.01	The legs of a chair under the counter	[]	[]	[]
6	2007	3061603	on	crumb	plate	rotter.n.01	plate.n.04	along.r.01	white plate with crumbs	[]	[]	[]
6	2008	3061604	has	bottle	logo	bottle.n.01	logo.n.01	have.v.01	water bottle with nursery school logo	[]	[]	[]
6	2010	3061605	of	glass	milk	glass.n.01	milk.n.01	b	partial glass of milk	[]	[]	[]
6	2057	3061606	of	bag	food	bag.n.01	food.n.01	b	plastic bag of carrots	[]	[]	[]
7	1413	16029	on	book	desk	book.n.01	desk.n.01	along.r.01	a purple book is on the desk	[]	[]	[]
7	1415	16031	on	sticky note	monitor	note.n.01	monitor.n.04	along.r.01	a yellow sticky note on the monitor	[]	[]	[]
7	1416	16032	with	lady	hair	lady.n.01	hair.n.01	b	a young lady with black hair	[]	[]	[]
7	1462	16033	has	white board	writing	board.n.02	writing.n.01	have.v.01	a white board with writings on it	[]	[]	[]
7	1463	16034	on	telephone	desk	telephone.n.01	desk.n.01	along.r.01	a pink  telephone on the desk	[]	[]	[]
7	1465	16035	on	headphones	desk	earphone.n.01	desk.n.01	along.r.01	black headphones are on the desk	[]	[]	[]
7	1466	16036	looking at	lady	monitor	lady.n.01	monitor.n.04	look.v.02	a young lady is seated looking at the monitor	[]	[]	[]
7	1514	16037	wearing	woman	pants	woman.n.01	trouser.n.01	wear.v.01	woman is wearing blue pants	[]	[]	[]
7	1515	16038	next to	papers	board	paper.n.01	board.n.02	next.r.01	papers are next to the board	[]	[]	[]
7	1516	16039	on	cpu	floor	central_processing_unit.n.01	floor.n.01	along.r.01	black cpu is on the floor	[]	[]	[]
7	1562	16040	atop	pen	book	pen.n.01	book.n.01	atop.r.01	a red  pen atop of a book	[]	[]	[]
7	1563	16041	on	mouse	desk	mouse.n.01	desk.n.01	along.r.01	a black mouse on the desk	[]	[]	[]
7	1612	3187881	on	white board	wall	board.n.02	wall.n.01	along.r.01	A whiteboard on the wall	[]	[]	[]
7	1613	3187882	on	bracelet	wrist	watchband.n.01	wrist.n.01	along.r.01	A bracelet on her wrist	[]	[]	[]
7	1614	3187883	on	wrist pad	keyboard	wrist_pad.n.01	keyboard.n.01	along.r.01	A red wrist pad on a keyboard	[]	[]	[]
7	1615	3187884	on top of	mouse	mousepad	mouse.n.01	mousepad.n.01	along.r.01	A mouse on a mousepad	[]	[]	[]
7	1616	3187885	has	cd player	headphones	cd_player.n.01	earphone.n.01	have.v.01	A CD player and headphones	[]	[]	[]
7	1662	3187886	on top of	cereal	desk	grain.n.02	desk.n.01	along.r.01	cereal are on the table	[]	[]	[]
7	1663	3187887	on top of	pen	book	pen.n.01	book.n.01	along.r.01	red pen is ontop of the book	[]	[]	[]
7	1664	3187888	wearing	woman	earring	woman.n.01	earring.n.01	wear.v.01	woman is wearing earings	[]	[]	[]
7	1665	3187889	on top of	water bottle	desk	water_bottle.n.01	desk.n.01	along.r.01	water bottle is on the table	[]	[]	[]
7	1666	3187890	under	cables	desk	cable.n.01	desk.n.01	under.r.01	cables are under the desk	[]	[]	[]
7	1713	3187891	on top of	mouse	mousepad	mouse.n.01	mousepad.n.01	along.r.01	A mouse and mouse pad. 	[('Where is the computer mouse?', 'On the mouse pad.')]	[]	[]
7	1714	3187892	next to	monitor	keyboard	monitor.n.04	keyboard.n.01	next.r.01	Computer monitor and keyboard. 	[]	[]	[]
7	1715	3187893	has	white board	writing	board.n.02	writing.n.01	have.v.01	White board with writing. 	[]	[]	[]
7	1762	3187894	on top of	mug	desk	chump.n.01	desk.n.01	along.r.01	Mug on an office desk	[]	[]	[]
7	1763	3187895	has	laptop	lid	laptop.n.01	eyelid.n.01	have.v.01	Black laptop with lid closed	[]	[]	[]
7	1765	3187897	wearing	woman	sweater	woman.n.01	sweater.n.01	wear.v.01	Woman wearing beige sweater	[]	[]	[]
7	1766	3187898	on top of	headphones	desk	earphone.n.01	desk.n.01	along.r.01	Black headphones on table	[]	[]	[]
7	1813	3187899	on top of	water bottle	desk	water_bottle.n.01	desk.n.01	along.r.01	a water bottle is on the desk	[]	[]	[]
7	1814	3187900	next to	mug	telephone	chump.n.01	telephone.n.01	next.r.01	a mug is next to a telephone	[]	[]	[]
7	1816	3187902	on top of	laptop	desk	laptop.n.01	desk.n.01	along.r.01	a black folder is on another desk	[]	[]	[]
7	1862	3187903	on top of	headphones	desk	earphone.n.01	desk.n.01	along.r.01	Black earphones sitting on a computer desk.	[]	[]	[]
7	1865	3187907	has	woman	blue jeans	woman.n.01	jean.n.01	have.v.01	A woman in a gray shirt and blue jeans sitting a desk. 	[]	[]	[]
7	1865	3187906	has	woman	sweater	woman.n.01	sweater.n.01	have.v.01	A woman in a gray shirt and blue jeans sitting a desk. 	[]	[]	[]
7	1865	3187905	sitting at	woman	desk	woman.n.01	desk.n.01	sit.v.01	A woman in a gray shirt and blue jeans sitting a desk. 	[]	[]	[]
7	1866	3187908	taped to	sticky note	monitor	note.n.01	monitor.n.04	record.v.02	A piece of paper taped to a computer monitor.	[]	[]	[]
7	1912	3187909	sitting in	woman	chair	woman.n.01	chair.n.01	sit.v.01	Woman sitting in chair	[]	[]	[]
7	1915	3187910	has	water bottle	label	water_bottle.n.01	label.n.01	have.v.01	bottled water with green label	[]	[]	[]
7	1916	3187911	next to	mug	telephone	chump.n.01	telephone.n.01	next.r.01	tan colored telephone and cup	[]	[]	[]
7	1964	3187912	behind	cereal	water bottle	grain.n.02	water_bottle.n.01	behind.r.01	cheese crackers and water	[]	[]	[]
7	1965	3187913	on top of	calculator	book	calculator.n.01	book.n.01	along.r.01	calculator on an open book	[]	[]	[]
7	2012	3187915	running under	cables	desk	cable.n.01	desk.n.01	run.v.01	cables are running under the desk	[]	[]	[]
7	2013	3187916	on top of	pen	desk	pen.n.01	desk.n.01	along.r.01	a red pen is m the desk	[]	[]	[]
7	2014	3187917	on top of	headphones	desk	earphone.n.01	desk.n.01	along.r.01	headphone are on the desk	[]	[]	[]
7	2015	3187918	has	white board	writing	board.n.02	writing.n.01	have.v.01	the board has red writings	[]	[]	[]
7	2016	3187919	on top of	mouse	desk	mouse.n.01	desk.n.01	along.r.01	mouse is on the desk	[]	[]	[]
7	2063	3187920	has	woman	sweater	woman.n.01	sweater.n.01	have.v.01	lady with cream colored shirt	[]	[]	[]
7	2065	3187921	on top of	telephone	desk	telephone.n.01	desk.n.01	along.r.01	beige telephone on desk	[]	[]	[]
8	1418	16042	has	man	sleeves	man.n.01	sleeve.n.01	have.v.01	man has folded sleeves	[]	[]	[]
8	1420	16043	on	cd	desk	cadmium.n.01	desk.n.01	along.r.01	white cd is on the desk	[]	[]	[]
8	1421	16044	on	cup	desk	cup.n.01	desk.n.01	along.r.01	white cup is on the desk	[]	[]	[]
8	1467	16045	on	hand	keyboard	hand.n.01	keyboard.n.01	along.r.01	mans hand is on the keyboard	"[(""Where is the man's hand?"", 'On the keyboard.')]"	[]	[]
8	1468	16046	on	cup	desk	cup.n.01	desk.n.01	along.r.01	white cup is on the desk	[]	[]	[]
8	1469	16047	has	man	glasses	man.n.01	spectacles.n.01	have.v.01	man is wearing glasses	[]	[]	[]
8	1470	16048	wears	man	shirt	man.n.01	shirt.n.01	wear.v.01	man is wearing black and white tshirt	[]	[]	[]
8	1471	16049	on	dish	cpu	dish.n.01	central_processing_unit.n.01	along.r.01	dish is on the cpu	[]	[]	[]
8	1517	16050	on	picture	wall	picture.n.01	wall.n.01	along.r.01	a picture taped up on the wall	[('Where is a picture?', 'Taped up on the wall.')]	[]	[]
8	1518	16051	on	container	computer	container.n.01	computer.n.01	along.r.01	an empty Tupperware container on the computer	[]	[]	[]
8	1519	16052	has	boy	glasses	male_child.n.01	spectacles.n.01	have.v.01	a boy with glasses sits at the computer	[]	[]	[]
8	1519	16053	at	boy	computer	male_child.n.01	computer.n.01	b	a boy with glasses sits at the computer	[]	[]	[]
8	1520	16054	on	stapler	desk	stapler.n.01	desk.n.01	along.r.01	a black stapler on the desk	[]	[]	[]
8	1521	16055	on	bag	papers	bag.n.01	paper.n.01	along.r.01	a money bag on a stack of papers	[]	[]	[]
8	1567	16056	on	photograph	wall	photograph.n.01	wall.n.01	along.r.01	photograph taped up on the wall	[]	[]	[]
8	1568	3187923	of	drawer	desk	drawer.n.01	desk.n.01	b	the top right drawer of the desk	[]	[]	[]
8	1569	16057	on	cup	shelf	cup.n.01	shelf.n.01	along.r.01	the black and silver cup on the shelf	[]	[]	[]
8	1570	16058	near	stapler	mug	stapler.n.01	chump.n.01	about.r.07	the black stapler, next to the large mug	[]	[]	[]
