Sentence 1	Sentence 2	Combined	Concept Strings	Concept Synsets
man is wearing sneakers	the man has glasses on 	man is wearing sneakers and has glasses on	['man', 'sneakers', 'glasses']	['man.n.01', 'gym_shoe.n.01', 'spectacles.n.01']
man is wearing sneakers	man has folded his sleeves	man is wearing sneakers and has folded his sleeves	['man', 'sneakers', 'sleeves']	['man.n.01', 'gym_shoe.n.01', 'sleeve.n.01']
man is wearing sneakers	man has folded his sleeves	man is wearing sneakers and has folded his sleeves	['man', 'sneakers', 'sleeve']	['man.n.01', 'gym_shoe.n.01', 'sleeve.n.01']
man is wearing sneakers	man is wearing black pants	man is wearing sneakers and is wearing black pants	['man', 'sneakers', 'pants']	['man.n.01', 'gym_shoe.n.01', 'trouser.n.01']
man is wearing sneakers	man has a white and black tshirt	man is wearing sneakers and has a white and black tshirt	['man', 'sneakers', 'shirt']	['man.n.01', 'gym_shoe.n.01', 'shirt.n.01']
man is wearing sneakers	mans jackets are touching the floor	man is wearing sneakers and jackets are touching the floor	['man', 'sneakers', 'jacket']	['man.n.01', 'gym_shoe.n.01', 'jacket.n.01']
man is wearing sneakers	A man sitting at a desk 	man is wearing sneakers and sitting at a desk	['man', 'sneakers', 'desk']	['man.n.01', 'gym_shoe.n.01', 'desk.n.01']
man is wearing sneakers	the man is using a computer to  the right	man is wearing sneakers and is using a computer to the right	['man', 'sneakers', 'computer']	['man.n.01', 'gym_shoe.n.01', 'computer.n.01']
man is wearing sneakers	a man in a grey shirt	man is wearing sneakers and in a grey shirt	['man', 'sneakers', 'shirt']	['man.n.01', 'gym_shoe.n.01', 'shirt.n.01']
man is wearing sneakers	A man using a computer. 	man is wearing sneakers and using a computer.	['man', 'sneakers', 'computer']	['man.n.01', 'gym_shoe.n.01', 'computer.n.01']
man is wearing sneakers	Man looking at computer	man is wearing sneakers and looking at computer	['man', 'sneakers', 'computer']	['man.n.01', 'gym_shoe.n.01', 'computer.n.01']
man is wearing sneakers	man is wearing grey shirt	man is wearing sneakers and is wearing grey shirt	['man', 'sneakers', 'shirt']	['man.n.01', 'gym_shoe.n.01', 'shirt.n.01']
cars headlights are off	The back of a white car	cars headlights are off and 	['car', 'headlight', 'back']	['car.n.01', 'headlight.n.01', 'back.n.01']
cars headlights are off	A white car parked on the street. 	cars headlights are off and parked on the street.	['car', 'headlight', 'street']	['car.n.01', 'headlight.n.01', 'street.n.01']
cars headlights are off	red car parked on road	cars headlights are off and parked on road	['car', 'headlight', 'road']	['car.n.01', 'headlight.n.01', 'road.n.01']
cars headlights are off	A white car parked on the side of the road. 	cars headlights are off and parked on the side of the road.	['car', 'headlight', 'road']	['car.n.01', 'headlight.n.01', 'road.n.01']
cars headlights are off	red car is parked along the road	cars headlights are off and is parked along the road	['car', 'headlight', 'road']	['car.n.01', 'headlight.n.01', 'road.n.01']
A sign on the facade of the building	A tall brick building with many windows	A sign on the facade of the building a tall brick building with many windows	['sign', 'building', 'windows']	['sign.n.02', 'building.n.01', 'window.n.01']
A sign on the facade of the building	A building with a lot of glass windows. 	A sign on the facade of the building a building with a lot of glass windows.	['sign', 'building', 'window']	['sign.n.02', 'building.n.01', 'window.n.01']
A sign on the facade of the building	A sign on the side of the road. 	A sign on the facade of the building and on the side of the road.	['sign', 'building', 'road']	['sign.n.02', 'building.n.01', 'road.n.01']
A tree trunk on the sidewalk	A brick sidewalk beside the street	A tree trunk on the sidewalk a brick sidewalk beside the street	['tree trunk', 'sidewalk', 'street']	['trunk.n.01', 'sidewalk.n.01', 'street.n.01']
A man in a red shirt	man is wearing sneakers	A man in a red shirt and is wearing sneakers	['man', 'shirt', 'sneakers']	['man.n.01', 'shirt.n.01', 'gym_shoe.n.01']
A man in a red shirt	a man is wearing glasses	A man in a red shirt and is wearing glasses	['man', 'shirt', 'glasses']	['man.n.01', 'shirt.n.01', 'spectacles.n.01']
A man in a red shirt	a man wears grey shoes	A man in a red shirt and wears grey shoes	['man', 'shirt', 'sneakers']	['man.n.01', 'shirt.n.01', 'gym_shoe.n.01']
A man in a red shirt	a man has brown shoes on 	A man in a red shirt and has brown shoes on	['man', 'shirt', 'shoes']	['man.n.01', 'shirt.n.01', 'shoe.n.01']
A man in a red shirt	A man dressed in a red shirt and black pants. 	A man in a red shirt and dressed in a red shirt and black pants.	['man', 'shirt', 'pants']	['man.n.01', 'shirt.n.01', 'trouser.n.01']
A man in a red shirt	A man wearing a gray jacket and gray pants. 	A man in a red shirt and wearing a gray jacket and gray pants.	['man', 'shirt', 'jacket']	['man.n.01', 'shirt.n.01', 'jacket.n.01']
A man in a red shirt	A man wearing a gray jacket and gray pants. 	A man in a red shirt and wearing a gray jacket and gray pants.	['man', 'shirt', 'pants']	['man.n.01', 'shirt.n.01', 'trouser.n.01']
A man in a red shirt	man is holding his chin	A man in a red shirt and is holding his chin	['man', 'shirt', 'chin']	['man.n.01', 'shirt.n.01', 'chin.n.01']
A man in a red shirt	man is wearing brown shoes	A man in a red shirt and is wearing brown shoes	['man', 'shirt', 'shoes']	['man.n.01', 'shirt.n.01', 'shoe.n.01']
A man in a red shirt	a man in glasses	A man in a red shirt and in glasses	['man', 'shirt', 'glasses']	['man.n.01', 'shirt.n.01', 'spectacles.n.01']
A man in a red shirt	A man in a gray hoodie	A man in a red shirt and in a gray hoodie	['man', 'shirt', 'jacket']	['man.n.01', 'shirt.n.01', 'jacket.n.01']
A man in a red shirt	man wearing silver backpack	A man in a red shirt and wearing silver backpack	['man', 'shirt', 'backpack']	['man.n.01', 'shirt.n.01', 'backpack.n.01']
A man in a red shirt	man is about to cross the road	A man in a red shirt and is about to cross the road	['man', 'shirt', 'crosswalk']	['man.n.01', 'shirt.n.01', 'crossing.n.05']
A man in a red shirt	man has folded sleeves	A man in a red shirt and has folded sleeves	['man', 'shirt', 'sleeves']	['man.n.01', 'shirt.n.01', 'sleeve.n.01']
A man in a red shirt	man is looking at the computer	A man in a red shirt and is looking at the computer	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
A man in a red shirt	mans hand is on the keyboard	A man in a red shirt and hand is on the keyboard	['man', 'shirt', 'hand']	['man.n.01', 'shirt.n.01', 'hand.n.01']
A man in a red shirt	the man has glasses on 	A man in a red shirt and has glasses on	['man', 'shirt', 'glasses']	['man.n.01', 'shirt.n.01', 'spectacles.n.01']
A man in a red shirt	man has folded his sleeves	A man in a red shirt and has folded his sleeves	['man', 'shirt', 'sleeves']	['man.n.01', 'shirt.n.01', 'sleeve.n.01']
A man in a red shirt	man has folded his sleeves	A man in a red shirt and has folded his sleeves	['man', 'shirt', 'sleeve']	['man.n.01', 'shirt.n.01', 'sleeve.n.01']
A man in a red shirt	man is wearing black pants	A man in a red shirt and is wearing black pants	['man', 'shirt', 'pants']	['man.n.01', 'shirt.n.01', 'trouser.n.01']
A man in a red shirt	mans jackets are touching the floor	A man in a red shirt and jackets are touching the floor	['man', 'shirt', 'jacket']	['man.n.01', 'shirt.n.01', 'jacket.n.01']
A man in a red shirt	A man sitting at a desk 	A man in a red shirt and sitting at a desk	['man', 'shirt', 'desk']	['man.n.01', 'shirt.n.01', 'desk.n.01']
A man in a red shirt	the man is using a computer to  the right	A man in a red shirt and is using a computer to the right	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
A man in a red shirt	A man using a computer. 	A man in a red shirt and using a computer.	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
A man in a red shirt	Man looking at computer	A man in a red shirt and looking at computer	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
The back of a white car	cars headlights are off	The back of a white car and headlights are off	['car', 'back', 'headlight']	['car.n.01', 'back.n.01', 'headlight.n.01']
The back of a white car	A white car parked on the street. 	The back of a white car and parked on the street.	['car', 'back', 'street']	['car.n.01', 'back.n.01', 'street.n.01']
The back of a white car	red car parked on road	The back of a white car and parked on road	['car', 'back', 'road']	['car.n.01', 'back.n.01', 'road.n.01']
The back of a white car	A white car parked on the side of the road. 	The back of a white car and parked on the side of the road.	['car', 'back', 'road']	['car.n.01', 'back.n.01', 'road.n.01']
The back of a white car	red car is parked along the road	The back of a white car and is parked along the road	['car', 'back', 'road']	['car.n.01', 'back.n.01', 'road.n.01']
a man is wearing glasses	man is wearing sneakers	a man is wearing glasses and is wearing sneakers	['man', 'glasses', 'sneakers']	['man.n.01', 'spectacles.n.01', 'gym_shoe.n.01']
a man is wearing glasses	A man in a red shirt	a man is wearing glasses and in a red shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man is wearing glasses	a man wears grey shoes	a man is wearing glasses and wears grey shoes	['man', 'glasses', 'sneakers']	['man.n.01', 'spectacles.n.01', 'gym_shoe.n.01']
a man is wearing glasses	a man has brown shoes on 	a man is wearing glasses and has brown shoes on	['man', 'glasses', 'shoes']	['man.n.01', 'spectacles.n.01', 'shoe.n.01']
a man is wearing glasses	A man dressed in a red shirt and black pants. 	a man is wearing glasses and dressed in a red shirt and black pants.	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man is wearing glasses	A man dressed in a red shirt and black pants. 	a man is wearing glasses and dressed in a red shirt and black pants.	['man', 'glasses', 'pants']	['man.n.01', 'spectacles.n.01', 'trouser.n.01']
a man is wearing glasses	A man wearing a gray jacket and gray pants. 	a man is wearing glasses and wearing a gray jacket and gray pants.	['man', 'glasses', 'jacket']	['man.n.01', 'spectacles.n.01', 'jacket.n.01']
a man is wearing glasses	A man wearing a gray jacket and gray pants. 	a man is wearing glasses and wearing a gray jacket and gray pants.	['man', 'glasses', 'pants']	['man.n.01', 'spectacles.n.01', 'trouser.n.01']
a man is wearing glasses	man is wearing red tshirt	a man is wearing glasses and is wearing red tshirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man is wearing glasses	man is holding his chin	a man is wearing glasses and is holding his chin	['man', 'glasses', 'chin']	['man.n.01', 'spectacles.n.01', 'chin.n.01']
a man is wearing glasses	man is wearing brown shoes	a man is wearing glasses and is wearing brown shoes	['man', 'glasses', 'shoes']	['man.n.01', 'spectacles.n.01', 'shoe.n.01']
a man is wearing glasses	the man wears a red t shirt 	a man is wearing glasses and wears a red t shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man is wearing glasses	A man in a gray hoodie	a man is wearing glasses and in a gray hoodie	['man', 'glasses', 'jacket']	['man.n.01', 'spectacles.n.01', 'jacket.n.01']
a man is wearing glasses	man wearing silver backpack	a man is wearing glasses and wearing silver backpack	['man', 'glasses', 'backpack']	['man.n.01', 'spectacles.n.01', 'backpack.n.01']
a man is wearing glasses	man is about to cross the road	a man is wearing glasses and is about to cross the road	['man', 'glasses', 'crosswalk']	['man.n.01', 'spectacles.n.01', 'crossing.n.05']
a man is wearing glasses	man has folded sleeves	a man is wearing glasses and has folded sleeves	['man', 'glasses', 'sleeves']	['man.n.01', 'spectacles.n.01', 'sleeve.n.01']
a man is wearing glasses	man is wearing black and white tshirt	a man is wearing glasses and is wearing black and white tshirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man is wearing glasses	man is looking at the computer	a man is wearing glasses and is looking at the computer	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
a man is wearing glasses	mans hand is on the keyboard	a man is wearing glasses and hand is on the keyboard	['man', 'glasses', 'hand']	['man.n.01', 'spectacles.n.01', 'hand.n.01']
a man is wearing glasses	man has folded his sleeves	a man is wearing glasses and has folded his sleeves	['man', 'glasses', 'sleeves']	['man.n.01', 'spectacles.n.01', 'sleeve.n.01']
a man is wearing glasses	man has folded his sleeves	a man is wearing glasses and has folded his sleeves	['man', 'glasses', 'sleeve']	['man.n.01', 'spectacles.n.01', 'sleeve.n.01']
a man is wearing glasses	man is wearing black pants	a man is wearing glasses and is wearing black pants	['man', 'glasses', 'pants']	['man.n.01', 'spectacles.n.01', 'trouser.n.01']
a man is wearing glasses	man has a white and black tshirt	a man is wearing glasses and has a white and black tshirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man is wearing glasses	mans jackets are touching the floor	a man is wearing glasses and jackets are touching the floor	['man', 'glasses', 'jacket']	['man.n.01', 'spectacles.n.01', 'jacket.n.01']
a man is wearing glasses	A man sitting at a desk 	a man is wearing glasses and sitting at a desk	['man', 'glasses', 'desk']	['man.n.01', 'spectacles.n.01', 'desk.n.01']
a man is wearing glasses	the man is using a computer to  the right	a man is wearing glasses and is using a computer to the right	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
a man is wearing glasses	a man in a grey shirt	a man is wearing glasses and in a grey shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a man is wearing glasses	A man using a computer. 	a man is wearing glasses and using a computer.	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
a man is wearing glasses	Man looking at computer	a man is wearing glasses and looking at computer	['man', 'glasses', 'computer']	['man.n.01', 'spectacles.n.01', 'computer.n.01']
a man is wearing glasses	man is wearing grey shirt	a man is wearing glasses and is wearing grey shirt	['man', 'glasses', 'shirt']	['man.n.01', 'spectacles.n.01', 'shirt.n.01']
a parking meter is on the sidewalk	A brick sidewalk beside the street	a parking meter is on the sidewalk a brick sidewalk beside the street	['parking meter', 'sidewalk', 'street']	['parking_meter.n.01', 'sidewalk.n.01', 'street.n.01']
a parking meter is on the sidewalk	parking meter on the sidewalk	a parking meter is on the sidewalk and parking meter on the sidewalk	['parking meter', 'sidewalk', 'man']	['parking_meter.n.01', 'sidewalk.n.01', 'man.n.01']
a parking meter is on the sidewalk	a parking meter is on the street	a parking meter is on the sidewalk and a parking meter is on the street	['parking meter', 'sidewalk', 'street']	['parking_meter.n.01', 'sidewalk.n.01', 'street.n.01']
a man has brown shoes on 	man is wearing sneakers	a man has brown shoes on and is wearing sneakers	['man', 'shoes', 'sneakers']	['man.n.01', 'shoe.n.01', 'gym_shoe.n.01']
a man has brown shoes on 	A man in a red shirt	a man has brown shoes on and in a red shirt	['man', 'shoes', 'shirt']	['man.n.01', 'shoe.n.01', 'shirt.n.01']
a man has brown shoes on 	a man is wearing glasses	a man has brown shoes on and is wearing glasses	['man', 'shoes', 'glasses']	['man.n.01', 'shoe.n.01', 'spectacles.n.01']
a man has brown shoes on 	a man wears grey shoes	a man has brown shoes on and wears grey shoes	['man', 'shoes', 'sneakers']	['man.n.01', 'shoe.n.01', 'gym_shoe.n.01']
a man has brown shoes on 	A man dressed in a red shirt and black pants. 	a man has brown shoes on and dressed in a red shirt and black pants.	['man', 'shoes', 'shirt']	['man.n.01', 'shoe.n.01', 'shirt.n.01']
a man has brown shoes on 	A man dressed in a red shirt and black pants. 	a man has brown shoes on and dressed in a red shirt and black pants.	['man', 'shoes', 'pants']	['man.n.01', 'shoe.n.01', 'trouser.n.01']
a man has brown shoes on 	A man wearing a gray jacket and gray pants. 	a man has brown shoes on and wearing a gray jacket and gray pants.	['man', 'shoes', 'jacket']	['man.n.01', 'shoe.n.01', 'jacket.n.01']
a man has brown shoes on 	A man wearing a gray jacket and gray pants. 	a man has brown shoes on and wearing a gray jacket and gray pants.	['man', 'shoes', 'pants']	['man.n.01', 'shoe.n.01', 'trouser.n.01']
a man has brown shoes on 	man is wearing red tshirt	a man has brown shoes on and is wearing red tshirt	['man', 'shoes', 'shirt']	['man.n.01', 'shoe.n.01', 'shirt.n.01']
a man has brown shoes on 	man is holding his chin	a man has brown shoes on and is holding his chin	['man', 'shoes', 'chin']	['man.n.01', 'shoe.n.01', 'chin.n.01']
a man has brown shoes on 	the man wears a red t shirt 	a man has brown shoes on and wears a red t shirt	['man', 'shoes', 'shirt']	['man.n.01', 'shoe.n.01', 'shirt.n.01']
a man has brown shoes on 	a man in glasses	a man has brown shoes on and in glasses	['man', 'shoes', 'glasses']	['man.n.01', 'shoe.n.01', 'spectacles.n.01']
a man has brown shoes on 	A man in a gray hoodie	a man has brown shoes on and in a gray hoodie	['man', 'shoes', 'jacket']	['man.n.01', 'shoe.n.01', 'jacket.n.01']
a man has brown shoes on 	man wearing silver backpack	a man has brown shoes on and wearing silver backpack	['man', 'shoes', 'backpack']	['man.n.01', 'shoe.n.01', 'backpack.n.01']
a man has brown shoes on 	man is about to cross the road	a man has brown shoes on and is about to cross the road	['man', 'shoes', 'crosswalk']	['man.n.01', 'shoe.n.01', 'crossing.n.05']
a man has brown shoes on 	man has folded sleeves	a man has brown shoes on and has folded sleeves	['man', 'shoes', 'sleeves']	['man.n.01', 'shoe.n.01', 'sleeve.n.01']
a man has brown shoes on 	man is wearing black and white tshirt	a man has brown shoes on and is wearing black and white tshirt	['man', 'shoes', 'shirt']	['man.n.01', 'shoe.n.01', 'shirt.n.01']
a man has brown shoes on 	man is looking at the computer	a man has brown shoes on and is looking at the computer	['man', 'shoes', 'computer']	['man.n.01', 'shoe.n.01', 'computer.n.01']
a man has brown shoes on 	mans hand is on the keyboard	a man has brown shoes on and hand is on the keyboard	['man', 'shoes', 'hand']	['man.n.01', 'shoe.n.01', 'hand.n.01']
a man has brown shoes on 	the man has glasses on 	a man has brown shoes on and has glasses on	['man', 'shoes', 'glasses']	['man.n.01', 'shoe.n.01', 'spectacles.n.01']
a man has brown shoes on 	man has folded his sleeves	a man has brown shoes on and has folded his sleeves	['man', 'shoes', 'sleeves']	['man.n.01', 'shoe.n.01', 'sleeve.n.01']
a man has brown shoes on 	man has folded his sleeves	a man has brown shoes on and has folded his sleeves	['man', 'shoes', 'sleeve']	['man.n.01', 'shoe.n.01', 'sleeve.n.01']
a man has brown shoes on 	man is wearing black pants	a man has brown shoes on and is wearing black pants	['man', 'shoes', 'pants']	['man.n.01', 'shoe.n.01', 'trouser.n.01']
a man has brown shoes on 	man has a white and black tshirt	a man has brown shoes on and has a white and black tshirt	['man', 'shoes', 'shirt']	['man.n.01', 'shoe.n.01', 'shirt.n.01']
a man has brown shoes on 	mans jackets are touching the floor	a man has brown shoes on and jackets are touching the floor	['man', 'shoes', 'jacket']	['man.n.01', 'shoe.n.01', 'jacket.n.01']
a man has brown shoes on 	A man sitting at a desk 	a man has brown shoes on and sitting at a desk	['man', 'shoes', 'desk']	['man.n.01', 'shoe.n.01', 'desk.n.01']
a man has brown shoes on 	the man is using a computer to  the right	a man has brown shoes on and is using a computer to the right	['man', 'shoes', 'computer']	['man.n.01', 'shoe.n.01', 'computer.n.01']
a man has brown shoes on 	a man in a grey shirt	a man has brown shoes on and in a grey shirt	['man', 'shoes', 'shirt']	['man.n.01', 'shoe.n.01', 'shirt.n.01']
a man has brown shoes on 	A man using a computer. 	a man has brown shoes on and using a computer.	['man', 'shoes', 'computer']	['man.n.01', 'shoe.n.01', 'computer.n.01']
a man has brown shoes on 	Man looking at computer	a man has brown shoes on and looking at computer	['man', 'shoes', 'computer']	['man.n.01', 'shoe.n.01', 'computer.n.01']
a man has brown shoes on 	man is wearing grey shirt	a man has brown shoes on and is wearing grey shirt	['man', 'shoes', 'shirt']	['man.n.01', 'shoe.n.01', 'shirt.n.01']
A man dressed in a red shirt and black pants. 	man is wearing sneakers	A man dressed in a red shirt and black pants and is wearing sneakers	['man', 'shirt', 'sneakers']	['man.n.01', 'shirt.n.01', 'gym_shoe.n.01']
A man dressed in a red shirt and black pants. 	a man is wearing glasses	A man dressed in a red shirt and black pants and is wearing glasses	['man', 'shirt', 'glasses']	['man.n.01', 'shirt.n.01', 'spectacles.n.01']
A man dressed in a red shirt and black pants. 	a man wears grey shoes	A man dressed in a red shirt and black pants and wears grey shoes	['man', 'shirt', 'sneakers']	['man.n.01', 'shirt.n.01', 'gym_shoe.n.01']
A man dressed in a red shirt and black pants. 	a man has brown shoes on 	A man dressed in a red shirt and black pants and has brown shoes on	['man', 'shirt', 'shoes']	['man.n.01', 'shirt.n.01', 'shoe.n.01']
A man dressed in a red shirt and black pants. 	A man dressed in a red shirt and black pants. 	A man dressed in a red shirt and black pants and dressed in a red shirt and black pants.	['man', 'shirt', 'pants']	['man.n.01', 'shirt.n.01', 'trouser.n.01']
A man dressed in a red shirt and black pants. 	A man wearing a gray jacket and gray pants. 	A man dressed in a red shirt and black pants and wearing a gray jacket and gray pants.	['man', 'shirt', 'jacket']	['man.n.01', 'shirt.n.01', 'jacket.n.01']
A man dressed in a red shirt and black pants. 	A man wearing a gray jacket and gray pants. 	A man dressed in a red shirt and black pants and wearing a gray jacket and gray pants.	['man', 'shirt', 'pants']	['man.n.01', 'shirt.n.01', 'trouser.n.01']
A man dressed in a red shirt and black pants. 	man is holding his chin	A man dressed in a red shirt and black pants and is holding his chin	['man', 'shirt', 'chin']	['man.n.01', 'shirt.n.01', 'chin.n.01']
A man dressed in a red shirt and black pants. 	man is wearing brown shoes	A man dressed in a red shirt and black pants and is wearing brown shoes	['man', 'shirt', 'shoes']	['man.n.01', 'shirt.n.01', 'shoe.n.01']
A man dressed in a red shirt and black pants. 	a man in glasses	A man dressed in a red shirt and black pants and in glasses	['man', 'shirt', 'glasses']	['man.n.01', 'shirt.n.01', 'spectacles.n.01']
A man dressed in a red shirt and black pants. 	A man in a gray hoodie	A man dressed in a red shirt and black pants and in a gray hoodie	['man', 'shirt', 'jacket']	['man.n.01', 'shirt.n.01', 'jacket.n.01']
A man dressed in a red shirt and black pants. 	man wearing silver backpack	A man dressed in a red shirt and black pants and wearing silver backpack	['man', 'shirt', 'backpack']	['man.n.01', 'shirt.n.01', 'backpack.n.01']
A man dressed in a red shirt and black pants. 	man is about to cross the road	A man dressed in a red shirt and black pants and is about to cross the road	['man', 'shirt', 'crosswalk']	['man.n.01', 'shirt.n.01', 'crossing.n.05']
A man dressed in a red shirt and black pants. 	man has folded sleeves	A man dressed in a red shirt and black pants and has folded sleeves	['man', 'shirt', 'sleeves']	['man.n.01', 'shirt.n.01', 'sleeve.n.01']
A man dressed in a red shirt and black pants. 	man is looking at the computer	A man dressed in a red shirt and black pants and is looking at the computer	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
A man dressed in a red shirt and black pants. 	mans hand is on the keyboard	A man dressed in a red shirt and black pants and hand is on the keyboard	['man', 'shirt', 'hand']	['man.n.01', 'shirt.n.01', 'hand.n.01']
A man dressed in a red shirt and black pants. 	the man has glasses on 	A man dressed in a red shirt and black pants and has glasses on	['man', 'shirt', 'glasses']	['man.n.01', 'shirt.n.01', 'spectacles.n.01']
A man dressed in a red shirt and black pants. 	man has folded his sleeves	A man dressed in a red shirt and black pants and has folded his sleeves	['man', 'shirt', 'sleeves']	['man.n.01', 'shirt.n.01', 'sleeve.n.01']
A man dressed in a red shirt and black pants. 	man has folded his sleeves	A man dressed in a red shirt and black pants and has folded his sleeves	['man', 'shirt', 'sleeve']	['man.n.01', 'shirt.n.01', 'sleeve.n.01']
A man dressed in a red shirt and black pants. 	man is wearing black pants	A man dressed in a red shirt and black pants and is wearing black pants	['man', 'shirt', 'pants']	['man.n.01', 'shirt.n.01', 'trouser.n.01']
A man dressed in a red shirt and black pants. 	mans jackets are touching the floor	A man dressed in a red shirt and black pants and jackets are touching the floor	['man', 'shirt', 'jacket']	['man.n.01', 'shirt.n.01', 'jacket.n.01']
A man dressed in a red shirt and black pants. 	A man sitting at a desk 	A man dressed in a red shirt and black pants and sitting at a desk	['man', 'shirt', 'desk']	['man.n.01', 'shirt.n.01', 'desk.n.01']
A man dressed in a red shirt and black pants. 	the man is using a computer to  the right	A man dressed in a red shirt and black pants and is using a computer to the right	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
A man dressed in a red shirt and black pants. 	A man using a computer. 	A man dressed in a red shirt and black pants and using a computer.	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
A man dressed in a red shirt and black pants. 	Man looking at computer	A man dressed in a red shirt and black pants and looking at computer	['man', 'shirt', 'computer']	['man.n.01', 'shirt.n.01', 'computer.n.01']
A man dressed in a red shirt and black pants. 	man is wearing sneakers	A man dressed in a red shirt and black pants and is wearing sneakers	['man', 'pants', 'sneakers']	['man.n.01', 'trouser.n.01', 'gym_shoe.n.01']
